geo_id,day,deaths_weekly
am,20201214,159
am,20201221,153
am,20201228,119
am,20210104,89
ao,20200323,0
ao,20200330,2
ao,20200406,0
ao,20200413,0
ao,20200420,0
ao,20200427,0
ao,20200504,0
ao,20200511,0
ao,20200518,0
ao,20200525,2
ao,20200601,0
ao,20200608,0
ao,20200615,2
ao,20200622,3
ao,20200629,2
ao,20200706,8
ao,20200713,7
ao,20200720,3
ao,20200727,11
ao,20200803,12
ao,20200810,18
ao,20200817,16
ao,20200824,10
ao,20200831,11
ao,20200907,10
ao,20200914,15
ao,20200921,20
ao,20200928,19
ao,20201005,22
ao,20201012,25
ao,20201019,23
ao,20201026,26
ao,20201102,17
ao,20201109,19
ao,20201116,19
ao,20201123,15
ao,20201130,9
ao,20201207,8
ao,20201214,17
ao,20201221,16
ao,20201228,16
ao,20210104,5
ar,20200309,1
ar,20200316,1
ar,20200323,2
ar,20200330,16
ar,20200406,26
ar,20200413,49
ar,20200420,39
ar,20200427,52
ar,20200504,60
ar,20200511,54
ar,20200518,66
ar,20200525,86
ar,20200601,87
ar,20200608,125
ar,20200615,169
ar,20200622,178
ar,20200629,206
ar,20200706,273
ar,20200713,328
ar,20200720,428
ar,20200727,693
ar,20200803,673
ar,20200810,944
ar,20200817,1101
ar,20200824,1191
ar,20200831,1553
ar,20200907,1406
ar,20200914,1500
ar,20200921,1602
ar,20200928,2840
ar,20201005,5269
ar,20201012,2850
ar,20201019,2399
ar,20201026,2629
ar,20201102,2244
ar,20201109,2420
ar,20201116,1876
ar,20201123,1566
ar,20201130,1471
ar,20201207,1297
ar,20201214,996
ar,20201221,1231
ar,20201228,871
ar,20210104,614
at,20200106,0
at,20200113,0
at,20200120,0
at,20200127,0
at,20200203,0
at,20200210,0
at,20200217,0
at,20200224,0
at,20200302,0
at,20200309,0
at,20200316,1
at,20200323,15
at,20200330,70
at,20200406,118
at,20200413,146
at,20200420,102
at,20200427,90
at,20200504,56
at,20200511,20
at,20200518,11
at,20200525,11
at,20200601,28
at,20200608,4
at,20200615,5
at,20200622,13
at,20200629,12
at,20200706,4
at,20200713,2
at,20200720,2
at,20200727,2
at,20200803,6
at,20200810,3
at,20200817,7
at,20200824,4
at,20200831,1
at,20200907,3
at,20200914,20
at,20200921,10
at,20200928,21
at,20201005,26
at,20201012,51
at,20201019,46
at,20201026,74
at,20201102,130
at,20201109,221
at,20201116,344
at,20201123,520
at,20201130,705
at,20201207,828
at,20201214,668
at,20201221,816
at,20201228,656
at,20210104,381
au,20200106,0
au,20200113,0
au,20200120,0
au,20200127,0
au,20200203,0
au,20200210,0
au,20200217,0
au,20200224,0
au,20200302,1
au,20200309,2
au,20200316,2
au,20200323,2
au,20200330,9
au,20200406,20
au,20200413,25
au,20200420,9
au,20200427,13
au,20200504,12
au,20200511,2
au,20200518,1
au,20200525,4
au,20200601,0
au,20200608,0
au,20200615,0
au,20200622,0
au,20200629,2
au,20200706,0
au,20200713,4
au,20200720,14
au,20200727,33
au,20200803,53
au,20200810,87
au,20200817,101
au,20200824,106
au,20200831,109
au,20200907,142
au,20200914,57
au,20200921,39
au,20200928,23
au,20201005,22
au,20201012,4
au,20201019,6
au,20201026,1
au,20201102,2
au,20201109,0
au,20201116,0
au,20201123,0
au,20201130,0
au,20201207,1
au,20201214,0
au,20201221,0
au,20201228,0
au,20210104,1
aw,20200330,0
aw,20200406,0
aw,20200413,0
aw,20200420,2
aw,20200427,0
aw,20200504,0
aw,20200511,1
aw,20200518,0
aw,20200525,0
aw,20200601,0
aw,20200608,0
aw,20200615,0
aw,20200622,0
aw,20200629,0
aw,20200706,0
aw,20200713,0
aw,20200720,0
aw,20200727,0
aw,20200803,0
aw,20200810,0
aw,20200817,1
aw,20200824,3
aw,20200831,3
aw,20200907,4
aw,20200914,4
aw,20200921,5
aw,20200928,2
aw,20201005,5
aw,20201012,2
aw,20201019,2
aw,20201026,2
aw,20201102,2
aw,20201109,2
aw,20201116,4
aw,20201123,1
aw,20201130,0
aw,20201207,0
aw,20201214,1
aw,20201221,1
aw,20201228,2
aw,20210104,0
az,20200106,0
az,20200113,0
az,20200120,0
az,20200127,0
az,20200203,0
az,20200210,0
az,20200217,0
az,20200224,0
az,20200302,0
az,20200309,0
az,20200316,0
az,20200323,1
az,20200330,3
az,20200406,3
az,20200413,4
az,20200420,8
az,20200427,2
az,20200504,4
az,20200511,7
az,20200518,7
az,20200525,10
az,20200601,14
az,20200608,25
az,20200615,31
az,20200622,35
az,20200629,44
az,20200706,52
az,20200713,56
az,20200720,48
az,20200727,63
az,20200803,45
az,20200810,28
az,20200817,16
az,20200824,12
az,20200831,13
az,20200907,17
az,20200914,14
az,20200921,13
az,20200928,11
az,20201005,10
az,20201012,13
az,20201019,17
az,20201026,45
az,20201102,69
az,20201109,100
az,20201116,127
az,20201123,164
az,20201130,230
az,20201207,271
az,20201214,290
az,20201221,288
az,20201228,328
az,20210104,195
ba,20200316,0
ba,20200323,1
ba,20200330,5
ba,20200406,18
ba,20200413,14
ba,20200420,8
ba,20200427,12
ba,20200504,18
ba,20200511,31
ba,20200518,25
ba,20200525,11
ba,20200601,9
ba,20200608,7
ba,20200615,4
ba,20200622,6
ba,20200629,13
ba,20200706,11
ba,20200713,27
ba,20200720,30
ba,20200727,33
ba,20200803,60
ba,20200810,59
ba,20200817,67
ba,20200824,60
ba,20200831,63
ba,20200907,47
ba,20200914,50
ba,20200921,68
ba,20200928,53
ba,20201005,61
ba,20201012,50
ba,20201019,63
ba,20201026,102
ba,20201102,162
ba,20201109,262
ba,20201116,347
ba,20201123,419
ba,20201130,344
ba,20201207,332
ba,20201214,384
ba,20201221,289
ba,20201228,328
ba,20210104,178
bb,20200323,0
bb,20200330,0
bb,20200406,1
bb,20200413,3
bb,20200420,1
bb,20200427,1
bb,20200504,1
bb,20200511,0
bb,20200518,0
bb,20200525,0
bb,20200601,0
bb,20200608,0
bb,20200615,0
bb,20200622,0
bb,20200629,0
bb,20200706,0
bb,20200713,0
bb,20200720,0
bb,20200727,0
bb,20200803,0
bb,20200810,0
bb,20200817,0
bb,20200824,0
bb,20200831,0
bb,20200907,0
bb,20200914,0
bb,20200921,0
bb,20200928,0
bb,20201005,0
bb,20201012,0
bb,20201019,0
bb,20201026,0
bb,20201102,0
bb,20201109,0
bb,20201116,0
bb,20201123,0
bb,20201130,0
bb,20201207,0
bb,20201214,0
bb,20201221,0
bb,20201228,0
bb,20210104,0
bd,20200309,0
bd,20200316,0
bd,20200323,3
bd,20200330,2
bd,20200406,4
bd,20200413,25
bd,20200420,57
bd,20200427,54
bd,20200504,32
bd,20200511,51
bd,20200518,100
bd,20200525,152
bd,20200601,170
bd,20200608,238
bd,20200615,283
bd,20200622,293
bd,20200629,274
bd,20200706,314
bd,20200713,300
bd,20200720,266
bd,20200727,310
bd,20200803,226
bd,20200810,245
bd,20200817,258
bd,20200824,284
bd,20200831,307
bd,20200907,201
bd,20200914,284
bd,20200921,206
bd,20200928,222
bd,20201005,187
bd,20201012,176
bd,20201019,136
bd,20201026,143
bd,20201102,138
bd,20201109,126
bd,20201116,127
bd,20201123,194
bd,20201130,221
bd,20201207,229
bd,20201214,214
bd,20201221,228
bd,20201228,172
bd,20210104,174
be,20200106,0
be,20200113,0
be,20200120,0
be,20200127,0
be,20200203,0
be,20200210,0
be,20200217,0
be,20200224,0
be,20200302,0
be,20200309,0
be,20200316,31
be,20200323,265
be,20200330,874
be,20200406,1671
be,20200413,1999
be,20200420,1596
be,20200427,1126
be,20200504,661
be,20200511,510
be,20200518,287
be,20200525,222
be,20200601,156
be,20200608,101
be,20200615,57
be,20200622,47
be,20200629,30
be,20200706,23
be,20200713,12
be,20200720,21
be,20200727,17
