geo_id,day,cases
ae,20200526,822
ae,20200527,779
ae,20200528,883
ae,20200529,563
ae,20200530,638
ae,20200531,726
ae,20200601,661
ae,20200602,635
ae,20200603,596
ae,20200604,571
ae,20200605,659
ae,20200606,624
ae,20200607,626
ae,20200608,540
ae,20200609,568
ae,20200610,528
ae,20200611,603
ae,20200612,479
ae,20200613,513
ae,20200614,491
ae,20200615,304
ae,20200616,342
ae,20200617,346
ae,20200618,382
ae,20200619,388
ae,20200620,393
ae,20200621,388
ae,20200622,392
ae,20200623,378
ae,20200624,380
ae,20200625,450
ae,20200626,430
ae,20200627,410
ae,20200628,387
ae,20200629,437
ae,20200630,449
ae,20200701,421
ae,20200702,402
ae,20200703,400
ae,20200704,672
ae,20200705,716
ae,20200706,683
ae,20200707,528
ae,20200708,532
ae,20200709,445
ae,20200710,532
ae,20200711,473
ae,20200712,403
ae,20200713,401
ae,20200714,344
ae,20200715,375
ae,20200716,275
ae,20200717,281
ae,20200718,293
ae,20200719,289
ae,20200720,211
ae,20200721,271
ae,20200722,305
ae,20200723,236
ae,20200724,254
ae,20200725,261
ae,20200726,313
ae,20200727,351
ae,20200728,264
ae,20200729,369
ae,20200730,375
ae,20200731,585
ae,20200801,0
ae,20200802,254
ae,20200803,239
ae,20200804,164
ae,20200805,189
ae,20200806,254
ae,20200807,239
ae,20200808,216
ae,20200809,239
ae,20200810,225
ae,20200811,179
ae,20200812,262
ae,20200813,246
ae,20200814,277
ae,20200815,330
ae,20200816,283
ae,20200817,210
ae,20200818,229
ae,20200819,365
ae,20200820,435
ae,20200821,461
ae,20200822,391
ae,20200823,424
ae,20200824,390
ae,20200825,275
ae,20200826,339
ae,20200827,399
ae,20200828,491
ae,20200829,390
af,20191231,0
af,20200101,0
af,20200102,0
af,20200103,0
af,20200104,0
af,20200105,0
af,20200106,0
af,20200107,0
af,20200108,0
af,20200109,0
af,20200110,0
af,20200111,0
af,20200112,0
af,20200113,0
af,20200114,0
af,20200115,0
af,20200116,0
af,20200117,0
af,20200118,0
af,20200119,0
af,20200120,0
af,20200121,0
af,20200122,0
af,20200123,0
af,20200124,0
af,20200125,0
af,20200126,0
af,20200127,0
af,20200128,0
af,20200129,0
af,20200130,0
af,20200131,0
af,20200201,0
af,20200202,0
af,20200203,0
af,20200204,0
af,20200205,0
af,20200206,0
af,20200207,0
af,20200208,0
af,20200209,0
af,20200210,0
af,20200211,0
af,20200212,0
af,20200213,0
af,20200214,0
af,20200215,0
af,20200216,0
af,20200217,0
af,20200218,0
af,20200219,0
af,20200220,0
af,20200221,0
af,20200222,0
af,20200223,0
af,20200224,0
af,20200225,1
af,20200226,0
af,20200227,0
af,20200228,0
af,20200229,0
af,20200301,0
af,20200302,0
af,20200308,3
af,20200311,3
af,20200315,3
af,20200316,6
af,20200317,5
af,20200318,1
af,20200319,0
af,20200320,0
af,20200321,2
af,20200322,0
af,20200323,10
af,20200324,6
af,20200325,2
af,20200326,33
af,20200327,0
af,20200328,16
af,20200329,15
af,20200330,8
af,20200331,27
af,20200401,25
af,20200402,26
af,20200403,43
af,20200404,0
af,20200405,35
af,20200406,29
af,20200407,38
af,20200408,30
af,20200409,56
af,20200410,61
af,20200411,37
af,20200412,34
af,20200413,52
af,20200414,58
af,20200415,49
af,20200416,70
af,20200417,10
af,20200418,51
af,20200419,63
af,20200420,88
af,20200421,35
af,20200422,61
af,20200423,84
af,20200424,105
af,20200425,70
af,20200426,112
af,20200427,68
af,20200428,172
af,20200429,124
af,20200430,122
af,20200501,222
af,20200502,164
af,20200503,134
af,20200504,235
af,20200505,190
af,20200506,330
af,20200507,168
af,20200508,171
af,20200509,215
af,20200510,255
af,20200511,369
af,20200512,285
af,20200513,280
af,20200514,259
af,20200515,113
af,20200516,1063
af,20200517,0
af,20200518,262
af,20200519,408
af,20200520,581
af,20200521,492
af,20200522,531
af,20200523,540
af,20200524,782
af,20200525,584
af,20200526,591
af,20200527,658
af,20200528,625
af,20200529,580
af,20200530,623
af,20200531,866
af,20200601,680
af,20200602,545
af,20200603,759
af,20200604,758
af,20200605,787
af,20200606,915
af,20200607,582
af,20200608,791
af,20200609,575
af,20200610,542
