geo_id,day,deaths
af,20200404,0
af,20200405,1
af,20200406,2
af,20200407,0
af,20200408,4
af,20200409,3
af,20200410,1
af,20200411,0
af,20200412,3
af,20200413,0
af,20200414,3
af,20200415,2
af,20200416,2
af,20200417,4
af,20200418,1
af,20200419,0
af,20200420,3
af,20200421,2
af,20200422,1
af,20200423,4
af,20200424,2
af,20200425,1
af,20200426,4
af,20200427,10
af,20200428,0
af,20200429,3
af,20200430,0
af,20200501,4
af,20200502,4
af,20200503,4
af,20200504,13
af,20200505,5
af,20200506,5
af,20200507,9
af,20200508,2
af,20200509,3
af,20200510,6
af,20200511,5
af,20200512,2
af,20200513,5
af,20200514,3
af,20200515,6
af,20200516,32
af,20200517,0
af,20200518,1
af,20200519,4
af,20200520,5
af,20200521,9
af,20200522,6
af,20200523,12
af,20200524,11
af,20200525,2
af,20200526,1
af,20200527,1
af,20200528,7
af,20200529,8
af,20200530,11
af,20200531,3
af,20200601,8
af,20200602,8
af,20200603,5
af,20200604,24
ag,20200315,0
ag,20200321,0
ag,20200322,0
ag,20200323,0
ag,20200324,0
ag,20200325,0
ag,20200326,0
ag,20200327,0
ag,20200328,0
ag,20200329,0
ag,20200330,0
ag,20200331,0
ag,20200401,0
ag,20200402,0
ag,20200403,0
ag,20200404,0
ag,20200405,0
ag,20200406,0
ag,20200407,0
ag,20200408,0
ag,20200409,0
ag,20200410,2
ag,20200411,0
ag,20200412,0
ag,20200413,0
ag,20200414,0
ag,20200415,0
ag,20200416,0
ag,20200417,0
ag,20200418,0
ag,20200419,0
ag,20200420,0
ag,20200421,1
ag,20200422,0
ag,20200423,0
ag,20200424,0
ag,20200425,0
ag,20200426,0
ag,20200427,0
ag,20200428,0
ag,20200429,0
ag,20200430,0
ag,20200501,0
ag,20200502,0
ag,20200503,0
ag,20200504,0
ag,20200505,0
ag,20200506,0
ag,20200507,0
ag,20200508,0
ag,20200509,0
ag,20200510,0
ag,20200511,0
ag,20200512,0
ag,20200513,0
ag,20200514,0
